cluster_id,n_proteins
768.0,173
83.0,137
394.0,121
55.0,121
622.0,120
596.0,111
699.0,104
676.0,104
621.0,94
601.0,77
526.0,73
334.0,69
633.0,66
645.0,66
406.0,60
463.0,60
298.0,48
200.0,47
753.0,42
365.0,42
106.0,41
644.0,39
74.0,38
156.0,36
668.0,34
457.0,31
439.0,31
708.0,30
162.0,30
113.0,28
488.0,28
650.0,28
464.0,28
143.0,24
95.0,24
667.0,24
617.0,21
308.0,21
467.0,21
589.0,21
565.0,20
427.0,20
191.0,19
704.0,18
362.0,18
522.0,17
81.0,17
122.0,17
225.0,16
678.0,16
694.0,16
132.0,16
343.0,16
110.0,16
605.0,15
514.0,15
515.0,15
806.0,15
436.0,14
769.0,14
155.0,14
483.0,14
360.0,14
725.0,14
541.0,13
468.0,12
209.0,12
428.0,12
664.0,12
492.0,12
523.0,12
789.0,12
723.0,12
611.0,12
103.0,11
218.0,11
270.0,11
754.0,11
51.0,11
203.0,11
717.0,11
512.0,11
332.0,11
323.0,11
551.0,11
554.0,11
803.0,11
618.0,10
114.0,10
594.0,10
604.0,10
92.0,10
449.0,10
516.0,10
145.0,10
60.0,10
121.0,10
716.0,10
568.0,10
289.0,10
161.0,9
474.0,9
415.0,9
194.0,9
460.0,9
48.0,9
592.0,9
610.0,8
752.0,8
513.0,8
351.0,8
435.0,8
41.0,8
309.0,8
269.0,8
430.0,8
37.0,8
198.0,7
124.0,7
652.0,7
510.0,7
775.0,7
609.0,7
607.0,7
247.0,7
637.0,7
798.0,7
13.0,7
63.0,7
441.0,7
261.0,7
82.0,7
505.0,7
228.0,7
8.0,7
368.0,7
337.0,7
354.0,7
279.0,7
661.0,6
462.0,6
443.0,6
123.0,6
159.0,6
580.0,6
546.0,6
727.0,6
662.0,6
627.0,6
387.0,6
296.0,6
573.0,6
549.0,6
98.0,6
221.0,6
235.0,6
38.0,6
450.0,6
46.0,5
27.0,5
697.0,5
29.0,5
783.0,5
438.0,5
771.0,5
773.0,5
293.0,5
292.0,5
178.0,5
88.0,5
152.0,5
341.0,5
506.0,5
660.0,5
330.0,5
277.0,5
391.0,5
595.0,5
646.0,5
52.0,5
649.0,5
192.0,5
375.0,5
502.0,5
623.0,5
625.0,5
364.0,5
246.0,5
258.0,5
442.0,5
528.0,5
311.0,5
653.0,5
672.0,5
160.0,5
475.0,5
481.0,5
7.0,4
555.0,4
195.0,4
202.0,4
314.0,4
271.0,4
451.0,4
458.0,4
68.0,4
476.0,4
469.0,4
735.0,4
389.0,4
116.0,4
588.0,4
574.0,4
186.0,4
537.0,4
552.0,4
89.0,4
47.0,4
42.0,4
665.0,4
358.0,4
651.0,4
383.0,4
237.0,4
602.0,4
603.0,4
614.0,4
380.0,4
