bin_lower_angstrom,bin_upper_angstrom,contact_residue_count,noncontact_residue_count
0.0,0.25,89,0
0.25,0.5,548,0
0.5,0.75,1209,0
0.75,1.0,1789,0
1.0,1.25,1809,0
1.25,1.5,1913,0
1.5,1.75,1899,0
1.75,2.0,1996,0
2.0,2.25,2061,0
2.25,2.5,2132,0
2.5,2.75,2505,0
2.75,3.0,3395,0
3.0,3.25,5586,0
3.25,3.5,9613,0
3.5,3.75,16466,0
3.75,4.0,27429,0
4.0,4.25,0,41946
4.25,4.5,0,55381
4.5,4.75,0,60278
4.75,5.0,0,56665
5.0,5.25,0,51483
5.25,5.5,0,46679
5.5,5.75,0,42686
5.75,6.0,0,40670
6.0,6.25,0,39401
6.25,6.5,0,37813
6.5,6.75,0,37532
6.75,7.0,0,39195
7.0,7.25,0,43039
7.25,7.5,0,47714
7.5,7.75,0,52718
7.75,8.0,0,58352
8.0,8.25,0,60870
8.25,8.5,0,63621
8.5,8.75,0,64124
8.75,9.0,0,63603
9.0,9.25,0,62089
9.25,9.5,0,60784
9.5,9.75,0,58464
9.75,10.0,0,57151
10.0,10.25,0,55438
10.25,10.5,0,55083
10.5,10.75,0,55314
10.75,11.0,0,52815
11.0,11.25,0,53701
11.25,11.5,0,53365
11.5,11.75,0,54716
11.75,12.0,0,54972
12.0,12.25,0,55136
12.25,12.5,0,54283
12.5,12.75,0,54671
12.75,13.0,0,54866
13.0,13.25,0,55477
13.25,13.5,0,55362
13.5,13.75,0,54717
13.75,14.0,0,54662
14.0,14.25,0,53360
14.25,14.5,0,52081
14.5,14.75,0,53165
14.75,15.0,0,51640
15.0,15.25,0,52910
15.25,15.5,0,52197
15.5,15.75,0,51611
15.75,16.0,0,50884
16.0,16.25,0,51761
16.25,16.5,0,52548
16.5,16.75,0,52418
16.75,17.0,0,51789
17.0,17.25,0,51741
17.25,17.5,0,51548
17.5,17.75,0,51029
17.75,18.0,0,51850
18.0,18.25,0,50327
18.25,18.5,0,49339
18.5,18.75,0,48736
18.75,19.0,0,48218
19.0,19.25,0,48250
19.25,19.5,0,48353
19.5,19.75,0,47188
19.75,20.0,0,46446
20.0,20.25,0,46140
20.25,20.5,0,45855
20.5,20.75,0,45760
20.75,21.0,0,45752
21.0,21.25,0,45210
21.25,21.5,0,45294
21.5,21.75,0,44804
21.75,22.0,0,44688
22.0,22.25,0,44156
22.25,22.5,0,43513
22.5,22.75,0,43232
22.75,23.0,0,42431
23.0,23.25,0,42185
23.25,23.5,0,41424
23.5,23.75,0,41910
23.75,24.0,0,41620
24.0,24.25,0,41119
24.25,24.5,0,40454
24.5,24.75,0,39916
24.75,25.0,0,39146
25.0,25.25,0,39182
25.25,25.5,0,39303
25.5,25.75,0,38817
25.75,26.0,0,38360
26.0,26.25,0,37994
26.25,26.5,0,37867
26.5,26.75,0,37135
26.75,27.0,0,37428
27.0,27.25,0,37114
27.25,27.5,0,36775
27.5,27.75,0,36077
27.75,28.0,0,35628
28.0,28.25,0,34815
28.25,28.5,0,35208
28.5,28.75,0,34618
28.75,29.0,0,34903
29.0,29.25,0,34256
29.25,29.5,0,33398
29.5,29.75,0,33613
29.75,30.0,0,33145
30.0,30.25,0,32163
30.25,30.5,0,31671
30.5,30.75,0,31726
30.75,31.0,0,31220
31.0,31.25,0,31190
31.25,31.5,0,30530
31.5,31.75,0,30301
31.75,32.0,0,30802
32.0,32.25,0,30448
32.25,32.5,0,29924
32.5,32.75,0,28975
32.75,33.0,0,28163
33.0,33.25,0,28405
33.25,33.5,0,28031
33.5,33.75,0,28046
33.75,34.0,0,27453
34.0,34.25,0,26994
34.25,34.5,0,26042
34.5,34.75,0,26091
34.75,35.0,0,25794
35.0,35.25,0,25429
35.25,35.5,0,25767
35.5,35.75,0,25186
35.75,36.0,0,24852
36.0,36.25,0,24735
36.25,36.5,0,24925
36.5,36.75,0,24193
36.75,37.0,0,23704
37.0,37.25,0,23301
37.25,37.5,0,23279
37.5,37.75,0,23081
37.75,38.0,0,22532
38.0,38.25,0,22346
38.25,38.5,0,22319
38.5,38.75,0,22292
38.75,39.0,0,22203
39.0,39.25,0,21880
39.25,39.5,0,21514
39.5,39.75,0,21331
39.75,40.0,0,21095
40.0,40.25,0,20916
40.25,40.5,0,21013
40.5,40.75,0,20701
40.75,41.0,0,20577
41.0,41.25,0,20038
41.25,41.5,0,19832
41.5,41.75,0,19401
41.75,42.0,0,19523
42.0,42.25,0,19448
42.25,42.5,0,19348
42.5,42.75,0,18678
42.75,43.0,0,18612
43.0,43.25,0,18401
43.25,43.5,0,18150
43.5,43.75,0,18148
43.75,44.0,0,17946
44.0,44.25,0,17487
44.25,44.5,0,17568
44.5,44.75,0,17502
44.75,45.0,0,17354
45.0,45.25,0,16964
45.25,45.5,0,16879
45.5,45.75,0,17039
45.75,46.0,0,16517
46.0,46.25,0,16446
46.25,46.5,0,16222
46.5,46.75,0,15920
46.75,47.0,0,15742
47.0,47.25,0,15655
47.25,47.5,0,15557
47.5,47.75,0,15826
47.75,48.0,0,15242
48.0,48.25,0,15207
48.25,48.5,0,15097
48.5,48.75,0,14608
48.75,49.0,0,14613
49.0,49.25,0,14371
